Key,press_time,release_time,platform_ids,session_id,user_ids
'[',1.724464581630446e+18,103054848,2,1,42
'2',1.72446458191447e+18,116276224,2,1,42
'0',1.724464582198223e+18,47962880,2,1,42
'0',1.724464582341619e+18,88273152,2,1,42
'5',1.724464582977572e+18,146331904,2,1,42
Key.space,1.724464583238634e+18,162295040,2,1,42
Key.shift,1.724464583645534e+18,346194176,2,1,42
'o',1.724464584039183e+18,96384000,2,1,42
'a',1.724464584170889e+18,141705984,2,1,42
'c',1.724464584482423e+18,124261888,2,1,42
'h',1.724464584757429e+18,99269120,2,1,42
Key.space,1.72446458489632e+18,145524992,2,1,42
Key.shift,1.724464585311784e+18,349197056,2,1,42
'a',1.724464585822341e+18,111390976,2,1,42
'r',1.724464586211122e+18,42439168,2,1,42
't',1.724464586385397e+18,64047104,2,1,42
'e',1.724464586524193e+18,109284096,2,1,42
'r',1.724464586641377e+18,64348928,2,1,42
Key.space,1.724464586982784e+18,104836096,2,1,42
Key.shift,1.724464587262285e+18,256568832,2,1,42
'p',1.724464587579486e+18,78733056,2,1,42
'e',1.724464587796172e+18,82088960,2,1,42
'e',1.724464587956229e+18,77045760,2,1,42
'c',1.724464588229741e+18,103238912,2,1,42
'h',1.724464589401607e+18,51426048,2,1,42
']',1.724464590224852e+18,108258048,2,1,42
Key.space,1.724464591479687e+18,120499968,2,1,42
'-',1.724464591669754e+18,92472832,2,1,42
Key.space,1.724464591902202e+18,148525824,2,1,42
'I',1.724464592664354e+18,66681856,2,1,42
Key.shift,1.724464592399409e+18,359200000,2,1,42
't',1.7244645929573e+18,85286144,2,1,42
Key.space,1.724464593068545e+18,96008960,2,1,42
'i',1.724464593750572e+18,85321984,2,1,42
's',1.724464593908219e+18,117353216,2,1,42
Key.space,1.724464593992772e+18,108108800,2,1,42
'n',1.72446459417315e+18,89645056,2,1,42
'o',1.724464594394573e+18,80369920,2,1,42
't',1.724464594514526e+18,120979968,2,1,42
Key.space,1.724464594682413e+18,116954880,2,1,42
'j',1.724464594948676e+18,69757952,2,1,42
'u',1.724464595130579e+18,77959168,2,1,42
's',1.724464595257591e+18,133969920,2,1,42
't',1.724464595441333e+18,79525888,2,1,42
Key.space,1.724464595540822e+18,120171008,2,1,42
'f',1.724464595727934e+18,114811136,2,1,42
'o',1.724464595886945e+18,72116992,2,1,42
'r',1.724464596066469e+18,145380864,2,1,42
Key.space,1.724464596199318e+18,131579904,2,1,42
't',1.724464596385487e+18,123802880,2,1,42
'h',1.724464596523565e+18,90144000,2,1,42
'e',1.724464596708364e+18,117923072,2,1,42
Key.space,1.724464596773823e+18,123315968,2,1,42
'p',1.724464597312158e+18,52450048,2,1,42
'l',1.724464597503444e+18,59374080,2,1,42
'a',1.724464597635446e+18,96815104,2,1,42
'y',1.724464597868178e+18,60179200,2,1,42
'e',1.724464597992309e+18,98567936,2,1,42
'r',1.724464598227098e+18,121438976,2,1,42
's',1.72446459854002e+18,118532096,2,1,42
Key.space,1.724464598663766e+18,139876864,2,1,42
'o',1.724464599122095e+18,107723008,2,1,42
'n',1.724464599391935e+18,108656128,2,1,42
Key.space,1.724464599531192e+18,132066048,2,1,42
't',1.724464599725489e+18,122355200,2,1,42
'h',1.724464599870189e+18,72376064,2,1,42
'e',1.724464600026855e+18,118264064,2,1,42
Key.space,1.724464600149365e+18,128656896,2,1,42
'c',1.724464600418402e+18,104409856,2,1,42
'o',1.724464600528969e+18,84785152,2,1,42
'u',1.724464600766301e+18,57806080,2,1,42
'r',1.724464601102414e+18,110004992,2,1,42
't',1.724464601341288e+18,112660992,2,1,42
Key.space,1.724464601496579e+18,111682816,2,1,42
'a',1.724464601748342e+18,128859904,2,1,42
'n',1.724464601896797e+18,80732160,2,1,42
'd',1.724464602050851e+18,111795968,2,1,42
Key.space,1.724464602117706e+18,116646144,2,1,42
'i',1.724464602348969e+18,84574976,2,1,42
't',1.72446460304411e+18,109309952,2,1,42
Key.space,1.72446460316392e+18,104555008,2,1,42
'i',1.724464603379678e+18,78882048,2,1,42
's',1.724464603542172e+18,121292032,2,1,42
Key.space,1.72446460376857e+18,159752960,2,1,42
'f',1.724464604578298e+18,123824896,2,1,42
'o',1.724464604753223e+18,91355136,2,1,42
'r',1.724464604912311e+18,118255872,2,1,42
Key.space,1.724464605032361e+18,111952128,2,1,42
'a',1.724464605178431e+18,117839104,2,1,42
'l',1.72446460532586e+18,59046912,2,1,42
'l',1.724464605482746e+18,77778944,2,1,42
Key.space,1.724464605626929e+18,115042048,2,1,42
'o',1.724464605807416e+18,95065856,2,1,42
Key.space,1.724464606111313e+18,83463168,2,1,42
Key.backspace,1.724464606514704e+18,102541056,2,1,42
'f',1.724464606820561e+18,107819008,2,1,42
Key.space,1.724464606931962e+18,127681792,2,1,42
'u',1.724464607177983e+18,83986944,2,1,42
's',1.724464607391535e+18,137373952,2,1,42
Key.space,1.724464607648333e+18,142095872,2,1,42
'f',1.724464608246688e+18,80966912,2,1,42
'a',1.724464608461121e+18,119321088,2,1,42
'c',1.724464608694062e+18,116925952,2,1,42
'i',1.724464608818869e+18,72655104,2,1,42
'n',1.724464609014595e+18,110466816,2,1,42
'g',1.724464609197502e+18,112675072,2,1,42
Key.space,1.724464609346371e+18,183955968,2,1,42
'o',1.72446461028659e+18,87347968,2,1,42
'u',1.724464610647815e+18,59709184,2,1,42
'r',1.724464611184286e+18,109764096,2,1,42
Key.space,1.724464611342871e+18,90766080,2,1,42
'o',1.724464611558301e+18,77876992,2,1,42
'w',1.72446461170672e+18,98484992,2,1,42
'n',1.724464611860055e+18,72867840,2,1,42
Key.space,1.724464612462972e+18,102776064,2,1,42
'b',1.724464612712295e+18,81445120,2,1,42
'a',1.724464612877798e+18,96982016,2,1,42
't',1.724464613066796e+18,49768960,2,1,42
't',1.724464613202366e+18,74329088,2,1,42
'l',1.724464613478323e+18,103511040,2,1,42
'e',1.724464613659404e+18,121111040,2,1,42
's',1.724464613954627e+18,106611968,2,1,42
'.',1.724464615024432e+18,52985856,2,1,42
Key.space,1.724464615229428e+18,84486912,2,1,42
'#',1.724464615862555e+18,48482048,2,1,42
Key.shift,1.724464615424892e+18,525957120,2,1,42
'c',1.724464616232253e+18,91282944,2,1,42
'o',1.724464616365301e+18,93597952,2,1,42
'a',1.724464616582514e+18,128669184,2,1,42
'c',1.724464616853051e+18,132301056,2,1,42
'h',1.72446461753085e+18,120004864,2,1,42
Key.shift,1.724464619891538e+18,292890112,2,1,42
'a',1.724464620340007e+18,95036160,2,1,42
'r',1.72446462047822e+18,55545088,2,1,42
't',1.724464620674898e+18,51086080,2,1,42
'#',1.724464623600741e+18,59754752,2,1,42
Key.shift,1.724464623258014e+18,450998016,2,1,42
'M',1.72446462422438e+18,60825088,2,1,42
Key.shift,1.724464624158119e+18,187517184,2,1,42
'o',1.724464624440463e+18,73680896,2,1,42
't',1.724464624631456e+18,92409088,2,1,42
'i',1.724464624822032e+18,46357248,2,1,42
'c',1.724464625038893e+18,111737856,2,1,42
Key.backspace,1.724464625614292e+18,134257152,2,1,42
'v',1.724464625791879e+18,114370048,2,1,42
'a',1.724464626017039e+18,135762944,2,1,42
't',1.724464626300376e+18,127908864,2,1,42
'i',1.724464626497055e+18,109989120,2,1,42
'o',1.724464626724599e+18,99424000,2,1,42
'n',1.724464626966277e+18,74056960,2,1,42
Key.space,1.724464627247105e+18,119661056,2,1,42
'x',1.724464628448446e+18,113345024,2,1,42
'x',1.72446462870769e+18,111225088,2,1,42
'x',1.724464629244009e+18,113198080,2,1,42
'x',1.724464629663902e+18,134617088,2,1,42
'x',1.724464630258205e+18,108338944,2,1,42
'y',1.724464631058472e+18,133285120,2,1,42
'y',1.724464631665896e+18,109146112,2,1,42
'y',1.724464632029492e+18,115568128,2,1,42
'y',1.724464632465476e+18,116024832,2,1,42
'y',1.724464632916717e+18,111479040,2,1,42
'[',1.724464656675461e+18,85184768,2,2,42
'2',1.724464657091973e+18,124570880,2,2,42
'0',1.724464657317379e+18,94518016,2,2,42
'2',1.72446465755081e+18,84134912,2,2,42
'2',1.724464657740139e+18,76951040,2,2,42
Key.space,1.724464657976981e+18,150139904,2,2,42
'O',1.724464658357572e+18,95203840,2,2,42
Key.shift,1.724464658208719e+18,303598848,2,2,42
'c',1.724464658821861e+18,112465920,2,2,42
'a',1.724464659451726e+18,148627968,2,2,42
'r',1.724464659727269e+18,131713792,2,2,42
Key.backspace,1.724464660634211e+18,57146880,2,2,42
Key.backspace,1.724464660811673e+18,86833920,2,2,42
Key.backspace,1.724464660943428e+18,75155968,2,2,42
Key.backspace,1.724464661126684e+18,54537984,2,2,42
's',1.724464661577969e+18,99606016,2,2,42
'c',1.724464661848668e+18,104210176,2,2,42
'a',1.724464662064837e+18,146726912,2,2,42
'r',1.724464662320214e+18,128103936,2,2,42
Key.space,1.724464662590323e+18,143320064,2,2,42
'M',1.72446466329174e+18,59759104,2,2,42
Key.shift,1.724464662994425e+18,440798976,2,2,42
'o',1.724464663499167e+18,83561984,2,2,42
'm',1.724464663752628e+18,64208128,2,2,42
'e',1.724464663931681e+18,109955072,2,2,42
'n',1.724464664081357e+18,84316928,2,2,42
't',1.724464664349445e+18,100308992,2,2,42
Key.space,1.724464664682169e+18,167154944,2,2,42
'b',1.724464666340696e+18,41645056,2,2,42
'/',1.724464667011956e+18,68169984,2,2,42
'n',1.724464667441503e+18,121904896,2,2,42
Key.space,1.724464667693891e+18,103813888,2,2,42
'C',1.72446466870787e+18,132584960,2,2,42
Key.shift,1.724464668134155e+18,718396928,2,2,42
'h',1.72446466958295e+18,94602240,2,2,42
'r',1.724464669758124e+18,66306048,2,2,42
'i',1.724464670145459e+18,114049024,2,2,42
's',1.724464670377218e+18,117281024,2,2,42
Key.space,1.72446467059989e+18,154487040,2,2,42
'a',1.724464670782251e+18,116124928,2,2,42
'n',1.724464670954945e+18,116576000,2,2,42
'd',1.724464671179295e+18,83386112,2,2,42
Key.space,1.724464671331548e+18,87518208,2,2,42
'R',1.724464671945415e+18,106172160,2,2,42
Key.shift,1.724464671524555e+18,567974912,2,2,42
'o',1.724464672257206e+18,103055104,2,2,42
'c',1.724464672511117e+18,97308928,2,2,42
'k',1.724464672732374e+18,112455936,2,2,42
']',1.724464673829873e+18,77561088,2,2,42
Key.space,1.724464674213403e+18,128334080,2,2,42
'-',1.724464675376136e+18,102403072,2,2,42
Key.space,1.724464676075033e+18,139190784,2,2,42
Key.shift,1.724464676247806e+18,264666112,2,2,42
'h',1.724464677111748e+18,62923008,2,2,42
'o',1.72446467733517e+18,86615040,2,2,42
'c',1.724464677887176e+18,120448000,2,2,42
'k',1.724464678009464e+18,84307968,2,2,42
'i',1.72446467820894e+18,83311872,2,2,42
'n',1.724464678444351e+18,63513088,2,2,42
'g',1.724464678545963e+18,111494912,2,2,42
Key.space,1.724464678748569e+18,115651840,2,2,42
'a',1.724464679762072e+18,145527808,2,2,42
'n',1.724464680058069e+18,86097920,2,2,42
'd',1.724464680207803e+18,108964096,2,2,42
Key.space,1.724464680369706e+18,124493056,2,2,42
'c',1.724464680529442e+18,100446976,2,2,42
'o',1.724464680659023e+18,87137024,2,2,42
'm',1.724464680878136e+18,46499840,2,2,42
'p',1.72446468106181e+18,69888000,2,2,42
'l',1.724464681262039e+18,77778944,2,2,42
'e',1.724464681414774e+18,75436032,2,2,42
'x',1.724464681661481e+18,114150912,2,1,42
Key.space,1.7244646818298e+18,152392960,2,2,42
's',1.724464682011988e+18,129820160,2,2,42
'i',1.724464682149452e+18,96796928,2,2,42
't',1.724464682437333e+18,107153920,2,2,42
'u',1.724464682673497e+18,41229824,2,2,42
'a',1.72446468319446e+18,134821120,2,2,42
't',1.724464683510064e+18,122825984,2,2,42
'i',1.724464683650809e+18,63340032,2,2,42
'o',1.724464683850532e+18,67645952,2,2,42
'n',1.724464684107899e+18,125345024,2,2,42
'.',1.724464685348652e+18,95228928,2,2,42
Key.space,1.724464685601982e+18,144471040,2,2,42
'I',1.724464685915167e+18,83144960,2,2,42
Key.shift,1.724464685826574e+18,187681024,2,2,42
't',1.724464686377567e+18,131867136,2,2,42
Key.space,1.72446468659401e+18,155421952,2,2,42
's',1.72446468757737e+18,135409920,2,2,42
'p',1.724464687832517e+18,90775808,2,2,42
'a',1.724464687983853e+18,111307008,2,2,42
'r',1.724464688239978e+18,110170112,2,2,42
'k',1.724464688427651e+18,84535808,2,2,42
'e',1.724464688574449e+18,103945984,2,2,42
'd',1.724464688790291e+18,85367040,2,2,42
Key.space,1.724464688973243e+18,151116032,2,2,42
'a',1.724464689178258e+18,132448000,2,2,42
Key.space,1.72446468935846e+18,140532992,2,2,42
'b',1.724464690019207e+18,113715200,2,2,42
'r',1.724464690307053e+18,110360832,2,2,42
'o',1.724464690480105e+18,92721920,2,2,42
's',1.724464690795057e+18,75358208,2,2,42
